req/minp,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
1197,2.132085284,1.378055122,0.754030161,278461781.3,278437888,63.50179788,93289813.33,93266602.67,136892416,136884224,136884224,68,8,3592,5276,240400,119290.6667,519.3333333,0,19.80055962,19.80055962,1174.095874,0,3840.014317,3840.014317,30957.77544,83206826.67,2.132085283,1.430057202,0.702028081,836837376,798040064,0.066695979,648007680,370146645.3,687349760,677404672,677404672,77,8,4376,620,216048,67488,5136.166667,1896.829689,25.66791435,1922.497603,282.4031522,935798.1936,680168.6713,1615966.865,7999.792858,361635157.3
1149,2.340093604,1.612064482,0.728029121,278462464,278437888,62.95358137,93293226.67,93273429.33,136892416,136884224,136884224,68,8,3592,5276,243696,128914.6667,525,0,19.20109237,19.20109237,1143.881705,0,3768.264315,3768.264315,30105.06153,83213653.33,2.106084243,1.534061362,0.572022881,836837376,798040064,0,648007680,370143232,687349760,677404672,677404672,77,8,4376,620,216048,67488,5137.333333,1981.478941,7.950451613,1989.429393,292.666599,967653.9816,106637.1894,1074291.171,8352.539985,361631744
974,1.898075923,1.118044722,0.780031201,278462464,278437888,51.56957883,93294592,93274112,136892416,136884224,136884224,68,8,3592,5276,238896,113658.6667,514.5,0,16.08424142,16.08424142,950.6536335,0,3090.157479,3090.157479,25108.06605,83214336,1.872074883,1.300052002,0.572022881,836837376,798040064,0.100005337,648007680,370149376,687349760,677404672,677404672,77,8,4376,620,216048,68445.33333,5138,1444.130195,26.75157528,1470.88177,214.0785667,717418.0137,728941.873,1446359.887,6096.138551,361637888
1248,2.626105044,1.638065523,0.988039521,278462464,278437888,66.770535,93294592,93274112,136892416,136884224,136884224,68,8,3592,5276,241360,121266.6667,519.5,0,20.5178554,20.5178554,1206.719917,0,4009.448948,4009.448948,31672.46848,83214336,2.704108164,1.872074883,0.832033281,836837376,797865301.3,0.066670399,648007680,370148693.3,687349760,677400576,677400576,76.83333333,8,4376,620,216048,67960,5138.666667,2222.743112,7.300416172,2230.043528,331.6188676,1118663.904,77946.98964,1196610.894,9362.46596,361637205.3
898,1.950078003,1.300052002,0.650026001,278462464,278437888,52.65291753,93294592,93274112,136892416,136884224,136884224,68,8,3592,5276,238800,114742.6667,515.5,0,16.45091439,16.45091439,975.7208337,0,3261.231519,3261.231519,25783.56515,83214336,1.846073843,1.222048882,0.624024961,836837376,798040064,0.066670497,648007680,370148010.7,687349760,677404672,677404672,77,8,4376,620,216048,68000,5139,1783.168478,12.81739519,1795.985873,247.21411,895966.8439,267881.4162,1163848.26,7517.429215,361636522.7
1436,3.094123765,1.924076963,1.170046802,278462464,278437888,74.20419643,93294592,93274112,136892416,136884224,136884224,68,8,3592,5276,244624,131172.6667,527.5,0,22.61794458,22.61794458,1345.476051,0,4317.643796,4317.643796,35294.36153,83214336,2.105329434,1.377602237,0.727727198,836837376,798040064,0.100005766,648007680,370152789.3,687349760,677404672,677404672,77,8,4376,620,216048,67573.33333,5139.666667,2103.602938,22.41794709,2126.020885,305.8507036,1078929.559,572985.441,1651915,8842.56943,361641301.3
1069,2.963268063,2.053434162,0.909833901,278462464,278437888,58.97084295,93295957.33,93274112,136892416,136884224,136884224,68,8,3592,5276,246000,137430,532,0,17.99615635,17.99615635,1071.855787,0,3540.114118,3540.114118,28233.6391,83214336,1.689703102,1.169763301,0.519939801,836837376,798040064,0.099979619,648007680,370158933.3,687349760,677404672,677404672,77,8,4376,620,216048,67488,5141.666667,1795.114285,11.84382727,1806.958112,267.1323489,858676.9741,238340.9451,1097017.919,7586.109291,361647445.3
1289,3.975611161,2.832438607,1.143172555,279597056,279356757.3,71.38735628,93910357.33,93890560,137881600,137876138.7,137876138.7,68.5,8,3592,5276,242578.6667,123990.6667,527.8333333,0,20.73449565,20.73449565,1208.151174,0,3963.538635,3963.538635,31737.13237,83829418.67,2.236089444,1.690067603,0.546021841,836837376,798389589.3,4.600281079,648007680,370182826.7,687349760,677498880,677498880,77.33333333,8,4376,620,216122.6667,67797.33333,5144.166667,1905.194708,25.76814276,1930.96285,282.5331878,955683.4714,743576.5505,1699260.022,8018.535442,361671338.7
1142,3.588143526,2.418096724,1.170046802,280731648,280272896,63.87037534,94603264,94582101.33,139078997.3,139071488,139071488,69,8,3592,5276,249520,145314,545,0,19.46779711,19.46779711,1154.200361,0,3803.420809,3803.420809,30364.79676,84522325.33,2.028081123,1.404056162,0.624024961,836837376,799088640,0.066670057,648007680,370221056,687349760,677687296,677687296,78,8,4376,620,216272,68416,5147,1974.076059,8.300458182,1982.376517,279.3155167,996064.6475,109933.2866,1105997.934,8308.927172,361709568
828,2.574102964,1.794071763,0.780031201,280731648,280272896,40.53565608,94610090.67,94588928,139079680,139071488,139071488,69,8,3592,5276,243632,127970.6667,536,0,12.81740015,12.81740015,746.0927293,0,2461.423819,2461.423819,19659.29247,84529152,1.196047842,0.936037441,0.2600104,836837376,798913877.3,0,648007680,370217642.7,687349760,677683200,677683200,77.83333333,8,4376,620,216272,68546.66667,5146.666667,1262.006291,30.53512801,1292.541419,199.4115145,632742.9928,833228.938,1465971.931,5352.042771,361706154.7
