req/minp,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
12909,54.80088817,47.28775879,7.51312938,1415479296,1415479296,46.81489277,542227797.3,538882048,623126528,613811541.3,613811541.3,150,8,1010.824122,1372,820,185248,213352,1563.833333,2149.271479,4.549523449,2153.821003,5614.885545,304480.1263,36794.502,341274.6283,897069.1995,528142336,45.08551443,36.73923407,8.346280354,857632768,833298432,128.2240465,473292800,236533760,705519616,685892266.7,685892266.7,79,8,358084.9157,1640,624,168128,74206,2451.5,1221.070292,1614.142879,2835.213171,4081.635019,50055297.49,75378879.88,125434177.3,181550.9165,230991872
9995,45.711336,38.19673151,7.514604492,1415479296,1415479296,73.98986144,542478336,500466346.7,623456256,585547093.3,585547093.3,150,8,1070.826493,1372,820,179456,163050,1533.666667,1314.219303,2.916811848,1317.136115,3517.19738,186181.0679,23282.20072,209463.2686,559452.4611,489726634.7,19.08464105,14.63849171,4.446149346,857632768,833298432,1.233397425,473292800,237276501.3,705519616,686673237.3,686673237.3,79,8,358144.9141,1640,624,168128,73616,2452.333333,756.83997,1008.053261,1764.893231,2524.233566,31025117.96,46815452.66,77840570.61,114668.0538,231734613.3
13327,64.613219,56.29258447,8.32063453,1415479296,1415479296,199.4094627,543365802.7,541551957.3,623458986.7,621884074.7,621884074.7,150,8,1130.823731,1372,820,184544,187090.6667,1560.166667,2189.629882,4.583909569,2194.213792,5732.523073,310197.5666,37039.90894,347237.4756,919247.0174,530790400,48.82964019,40.3273546,8.502285593,857632768,833298432,45.61957373,473292800,237868373.3,705519616,686277290.7,686277290.7,79,8,358204.9125,1640,624,168128,76834.66667,2455.666667,1253.00131,1654.827413,2907.828723,4173.767355,51363834.2,77385537.7,128749371.9,187014.0812,232326485.3
10040,36.70275769,32.77761359,3.925144109,1415479296,1415479296,2.948926779,543510528,501007018.7,623464448,580782762.7,580782762.7,150,8,1190.824768,1372,820,179008,173088.6667,1531.333333,1340.882473,2.982667455,1343.86514,3582.730427,189958.3503,24005.22719,213963.5775,570233.0671,490234538.7,33.30711879,28.47095634,4.836162447,857632768,833298432,2.699135273,473292800,238624768,705519616,686224042.7,686224042.7,79,8,358264.9108,1640,624,168128,70493.33333,2459.5,771.157621,1026.604413,1797.762034,2571.556175,31611629.87,47680082.2,79291712.08,116697.4122,233082880
14717,78.20342912,67.62143652,10.58199259,1415479296,1415479296,321.6012133,548392960,547650218.7,623722496,622935381.3,622935381.3,150,8,1250.826138,1372,820,185408,204077.3333,1564.666667,2396.88537,4.999584437,2401.884954,6248.195767,339558.7607,40387.52423,379946.285,1003331.054,536877738.7,48.07334687,36.08767325,11.98567363,857632768,833123669.3,96.2390576,473292800,237884757.3,705519616,685473792,685473792,78.83333333,8,358324.9118,1640,624,168128,95944,2458.666667,1361.806728,1796.366935,3158.173664,4547.847077,55824501.95,84028109.08,139852611.1,202691.2893,232342869.3
9641,39.80744536,34.71082488,5.096620486,1415479296,1415479296,36.65513571,552386560,511528277.3,623722496,581783552,581783552,150,8,1310.827942,1372,820,178816,151034.6667,1530.333333,1317.573675,2.733180232,1320.306855,3519.085488,186656.2706,22010.63081,208666.9014,557549.4687,500755797.3,19.31864891,15.65252577,3.666123145,857632768,833123669.3,7.950424231,473292800,237957120,705519616,685480618.7,685480618.7,78.83333333,8,358384.9232,1640,624,168128,71992,2460.166667,755.2095222,1009.140617,1764.35014,2522.693059,30957870.88,46881546.5,77839417.38,114721.6435,232415232
14608,83.52779305,65.56694752,17.96084553,1415479296,1415479296,316.4064081,556771328,556163072,630550528,630288384,630288384,150,8,1370.82408,1372,820,188032,195930.6667,1578.333333,2369.826189,5.116693518,2374.942883,6197.359174,335725.3768,41591.15951,377316.5363,999833.3238,545390592,48.6216332,40.30135372,8.320279479,857632768,833298432,155.8762185,473292800,238297770.7,705519616,685421909.3,685421909.3,79,8,358444.9215,1640,624,168128,80176,2464.833333,1353.626072,1790.26731,3143.893382,4511.753775,55489152.51,83641090.22,139130242.7,201111.8829,232755882.7
7534,43.73328102,39.39158871,4.341692306,1415479296,1415479296,15.08422156,557457408,501655552,630550528,573381290.7,573381290.7,150,8,1430.828384,1372,820,177664,150489.3333,1524.333333,1112.793912,2.383480463,1115.177393,2983.375954,157645.8042,19122.13137,176767.9356,466150.1745,490883072,27.27377244,22.51593032,4.757842126,857632768,833298432,5.083678732,473292800,237319509.3,705519616,683408725.3,683408725.3,79,8,358504.9207,1640,624,168128,71880,2465,633.0860663,846.8649188,1479.950985,2123.921053,25952077.86,39224277.46,65176355.32,95934.41069,231777621.3
10081,37.65244008,32.81604114,4.836398937,1415479296,1415479296,391.4984344,557457408,509521920,630550528,573878954.7,573878954.7,150,8,1490.830521,1372,820,180256,168372.6667,1537.833333,1478.677048,3.16735315,1481.844401,3929.304427,209479.2484,25370.88325,234850.1317,625399.4625,498749440,31.90306969,22.64675913,9.256310567,857632768,833298432,2.733479483,473292800,238237013.3,705519616,684073642.7,684073642.7,79,8,358564.9232,1640,624,168128,71402.66667,2468,849.2477627,1129.4469,1978.694663,2832.709214,34813187.8,52502613.02,87315800.83,128010.837,232695125.3
13701,80.58867149,63.48266444,17.10600705,1415479296,1415479296,469.0328124,568384170.7,552877397.3,633636181.3,617620138.7,617620138.7,150,8,1550.831658,1372,820,184192,186193.3333,1558.333333,2060.734062,4.249444553,2064.983507,5418.390995,291937.3255,34406.79851,326344.124,868760.092,542104917.3,33.67113102,26.00087337,7.670257644,857632768,833298432,43.31689554,473292800,239764821.3,705519616,685513386.7,685513386.7,79,8,358624.9215,1640,624,168128,83322.66667,2470.5,1178.712786,1558.249651,2736.962438,3931.777157,48318937.16,72793170.1,121112107.3,175722.6348,234222933.3
15944,72.35906366,62.58332736,9.775736287,1415479296,1415479296,114.9457214,571232256,567689216,634302464,630801066.7,630801066.7,150,8,1610.831029,1372,820,186432,213736,1570,2413.405921,5.183721611,2418.589643,6321.343072,341899.1721,42183.27626,384082.4484,1019528.498,556916736,47.19158517,37.96127512,9.230310048,857632768,833298432,49.86945487,473292800,240300032,705519616,685735936,685735936,79,8,358684.9199,1640,624,168128,71208,2470.833333,1385.069422,1826.781437,3211.850859,4608.323981,56777698.01,85425558.41,142203256.4,207701.8827,234758144
16554,63.78691289,54.89410978,8.892803117,1415479296,1415479296,76.39704054,571672576,569573376,634332501.3,632322048,632322048,150,8,1670.829034,1372,820,186912,237506.6667,1572.5,2556.953875,5.200646552,2562.154522,6676.105754,362235.1323,42380.06365,404615.196,1077314.158,558800896,43.5514629,33.4891249,10.062338,857632768,833298432,59.78689651,473292800,241050282.7,705519616,685767338.7,685767338.7,79,8,358744.9183,1640,624,168128,75658.66667,2474.166667,1461.983331,1924.909716,3386.893046,4869.410585,59931038.37,90083049.64,150014088,218488.1527,235508394.7
