req/minp,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
12149,83.9138374,66.20464875,17.70918867,2754191360,2753142784,618.7202372,837758976,574978048,1086640128,726078805.3,726078805.3,158,8,1151.668204,4752,4972,177056,175349.3333,1620.833333,1981.182611,4.334254922,1985.516866,5262.634639,280667.5361,35014.92,315682.4561,845333.1784,564193280,36.7657063,29.8233841,6.942322193,816726016,816726016,22.98452936,566395562.7,566159360,689197056,682795690.7,682795690.7,79,8,1716.54434,1088,636,143568,82992,881.5,1098.224376,1453.409677,2551.634053,3664.125928,45010454.79,67835313.13,112845767.9,166127.3796,557189120
10706,52.8248205,45.04719059,7.777629906,2754191360,2753142784,209.743209,837758976,582426624,1086640128,704740693.3,704740693.3,158,8,1211.666771,4752,4972,174208,165682.6667,1605.666667,1445.095294,2.951107907,1448.046401,3885.556736,204721.8333,23710.3147,228432.148,623136.229,571641856,35.10162907,28.70533221,6.396296852,817438720,816726016,24.33456086,567309653.3,566713002.7,689197056,682851669.3,682851669.3,79,8,1776.54194,1088,636,143568,70800,884.6666667,879.1783244,1167.143068,2046.321393,2913.415731,36034388.03,54395345.43,90429733.46,132905.0354,557742762.7
12788,63.48789144,50.64576818,12.84212327,2754191360,2753142784,255.6329532,837758976,521279488,1086640128,652038826.7,652038826.7,158,8,1271.662737,4752,4972,176352,171861.3333,1617.166667,2072.87684,4.499615166,2077.376455,5496.293369,293657.5523,36481.59472,330139.147,881580.619,510494720,27.43127309,20.85296778,6.578305299,817795072,816726016,38.66866864,568156842.7,567086421.3,689197056,683044864,683044864,79,8,1836.53954,1088,636,143568,82792,889,1140.991867,1509.07744,2650.069307,3821.179226,46766902.62,70425467,117192369.6,172276.9845,558116181.3
11122,47.40458675,39.75886786,7.645718898,2754191360,2753142784,388.9504483,837758976,459025066.7,1086640128,588467541.3,588467541.3,158,8,1331.660737,4752,4972,173824,180028.6667,1604.166667,1477.41657,3.000290672,1480.416861,3973.648301,209300.6811,24392.01642,233692.6975,638900.1708,448240298.7,25.03916207,18.56486159,6.474300471,817795072,816726016,1.866759563,568344576,567440042.7,689197056,682909696,682909696,79,8,1896.53714,1088,636,143568,70800,892,906.029383,1201.761105,2107.790488,3001.15248,37137553.69,55971917.69,93109471.37,137805.8873,558469802.7
13660,79.91464601,66.83577871,13.07886733,2754191360,2753142784,805.7041551,837758976,577990656,1086640128,706764800,706764800,158,8,1391.657971,4752,4972,180768,183617.3333,1640.5,2249.464404,4.867119641,2254.331523,5959.527962,318674.1242,39533.16705,358207.2913,958517.0938,567205888,33.99799529,26.27786441,7.720130877,817795072,816726016,46.74684248,570961920,569234773.3,689197056,684539904,684539904,79,8,1956.54514,1088,636,143568,83624,900.1666667,1234.021476,1637.822057,2871.843533,4126.701484,50581695,76439024.69,127020719.7,186818.2583,560264533.3
208,6.291668035,5.043732312,1.247935724,2754191360,2753142784,0.433318683,837758976,582258688,1086640128,700792832,700792832,158,8,1451.662304,4752,4972,173376,131013.3333,1601.5,196.1933316,0.566643832,196.7599754,541.5141909,27794.05531,4236.438864,32030.49417,82781.42553,571473920,3.172147219,2.28810619,0.884041028,817795072,816726016,25.66798684,570961920,570510677.3,689197056,686018560,686018560,79,8,2016.54794,1088,636,143568,69992,911.6666667,72.78707676,134.2069137,206.9939905,250.0961939,2984408.954,5702666.67,8687075.624,9850.106371,561540437.3
65,0.338210058,0.286220643,0.051989416,2754191360,2684286293,2.486555007,837758976,578425514.7,1086640128,695575893.3,695575893.3,92.33333333,8,1511.668971,4752,4972,165888,88360,1298.166667,11.55775289,0.083347711,11.6411006,53.51655884,1637.348326,169.118821,1806.467147,5446.228474,567640746.7,0.130006034,0.052002413,0.07800362,817795072,816726016,17.35090498,570961920,569206101.3,689197056,684051114.7,684051114.7,79,8,2076.54554,1088,636,143568,69976,910.1666667,5.666959834,10.61721557,16.2841754,37.76862701,233965.4376,484113.3092,718078.747,395.8538738,560235861.3
3022,9.255740475,7.955758138,1.299982337,2754191360,2746851328,759.6877389,837758976,612164949.3,1086640128,755359744,755359744,152,8,1571.665804,4752,4972,181952,175196,1620.166667,368.8335673,0.749941155,369.5835084,1031.02802,52251.42203,5750.307787,58001.72981,188880.8937,601380181.3,8.970416316,6.864318573,2.106097744,817795072,816726016,146.4408301,572629674.7,570316800,690062677.3,685581653.3,685581653.3,79,8,2136.54314,1088,636,143568,69986.66667,911.3333333,285.6646306,383.9029906,669.5676212,856.7105163,11707931.09,17752832.8,29460763.89,41269.34594,561346560
7781,59.41948679,52.86633251,6.553154281,2754191360,2748948480,66.03025012,837758976,731360597.3,1086640128,866693120,866693120,154,8,1631.666837,4752,4972,171392,149709.3333,1573.166667,1157.513108,2.466883132,1159.979991,3115.931685,163981.0236,19862.76117,183843.7848,491737.1496,720575829.3,23.58309449,15.4967192,8.086375288,817795072,816726016,11.26723811,574930944,570276522.7,691793920,684879872,684879872,79,8,2196.54074,1088,636,143568,76776,909.8333333,662.8174278,895.0460309,1557.863459,2223.781056,27170034.39,41171531.65,68341566.05,100584.6413,561306282.7
10146,93.97768688,80.71547168,13.26221521,2754191360,2748948480,1.783625642,837758976,662233088,1086640128,783041877.3,783041877.3,154,8,1691.665537,4752,4972,173984,175468,1586.666667,1504.630386,3.217259946,1507.847646,4021.164753,213155.9714,25783.93412,238939.9055,642662.5315,651448320,32.47550719,24.51913793,7.956369255,817795072,816551253.3,2.283450807,574930944,571721728,691793920,686120960,686120960,78.83333333,8,2256.53834,1088,636,143568,75813.33333,910.6666667,861.3774654,1151.825654,2013.203119,2885.164493,35309600,53348527.17,88658127.15,130767.2998,562751488
