req/minv,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
2858,23.15330969,15.8338783,7.319431385,1424216064,1411530752,334.2819533,532553728,434079744,595980288,473392469.3,473392469.3,155.5,8,1869.010209,3080,2836,189010.6667,157528,1710.333333,397.9757408,0.83459292,398.8103337,1129.437084,56379.04659,6355.824635,62734.87123,184875.465,424372224,50.27018747,40.38798191,9.882205553,461742080,461737984,11.10539221,294113280,293069482.7,306044928,304811349.3,304811349.3,85,8,4156.115999,1288,472,212456,70882.66667,1978.666667,482.7873081,312.3786563,795.1659644,867.7009531,14466402.79,14277672.56,28744075.35,8950.648652,282542762.7
2503,21.2508712,14.73993219,6.510939003,1424216064,1406812160,259.4340692,532553728,474593962.7,595980288,513356458.7,513356458.7,151,8,1929.013139,3080,2836,185464,142784,1676.5,419.7893255,0.800746854,420.5900723,1194.410341,59470.15444,6263.84432,65733.99875,206289.7309,464886442.7,36.91799195,29.19732379,7.720668161,461742080,461563221.3,3.319329308,294133760,292797098.7,306044928,304536234.7,304536234.7,84.83333333,8,4224.002565,1288,472,212456,70829.33333,1979.5,483.1958177,274.0831779,757.2789955,744.2615602,13394454.76,12203587.16,25598041.92,8146.998481,282270378.7
3009,21.01797356,14.44262611,6.575347446,1424216064,1390384469,1.201842573,532553728,407203840,595980288,442785792,442785792,135.3333333,8,1988.585597,3080,2836,182141.3333,129984,1546,418.8112665,0.918202966,419.7294694,1184.092067,59331.59608,6961.034424,66292.63051,195574.1534,397496320,57.08467387,47.17609684,9.90857703,461742080,461563221.3,19.60340262,294133760,292610048,306044928,304348501.3,304348501.3,84.83333333,8,4276.737312,1288,472,212456,71058.66667,1984.166667,501.5993809,316.0488102,817.6481911,888.305162,14858574.27,14385599.63,29244173.89,10269.25205,282083328
2589,22.77736329,15.95690772,6.82045557,1424216064,1396326400,473.2316862,532553728,438044672,595980288,488830976,488830976,141,8,2048.807438,3080,2836,187293.3333,149810.6667,1591.5,397.4707958,0.917451018,398.3882468,1132.726954,56308.36273,7161.807566,63470.1703,188786.2305,428337152,37.0732091,29.37960453,7.693604574,461742080,461737984,1.166759374,294133760,292927488,306044928,304662528,304662528,85,8,4336.178558,1288,472,212456,70784,1991,496.0595231,277.8829681,773.9424912,773.116394,13848693.04,12565403.57,26414096.61,7528.867355,282400768
3145,22.54763473,15.77076433,6.776870403,1424216064,1389161131,47.39140727,532553728,447602688,595980288,482318336,482318336,134.1666667,8,2108.590122,3080,2836,181992,132280,1540.666667,456.0068635,0.951651037,456.9585145,1287.810623,64600.97233,7215.466618,71816.43895,215381.0457,437895168,45.69972025,37.16700576,8.532714484,461742080,461563221.3,5.58396021,294341290.7,294158336,306115925.3,305900885.3,305900885.3,84.83333333,8,4410.349586,1288,472,212456,70829.33333,1997.333333,521.0367296,322.4397207,843.4764502,910.9646447,15312366.59,14705820.04,30018186.63,10648.25083,283631616
2670,21.98323436,14.6126345,7.370599864,1424216064,1402617856,430.2314419,532553728,461836970.7,595980288,514827605.3,514827605.3,147,8,2168.487659,3080,2836,191512,163674.6667,1634.166667,446.512053,0.951595003,447.463648,1264.950209,63255.87417,7452.996676,70708.87085,211873.7914,452129450.7,66.17166524,53.03960714,13.1320581,461742080,461737984,0.083446128,294387712,294387712,306134357.3,306126848,306126848,85,8,4456.859206,1288,472,212456,70784,1999.833333,502.7405694,294.5233203,797.2638897,820.0208877,14270331.94,13304995.85,27575327.8,8038.517407,283860992
2843,22.76440945,15.65459349,7.10981596,1424216064,1400520704,27.07654897,532553728,422399317.3,595980288,455794005.3,455794005.3,145,8,2228.591265,3080,2836,179976,126818.6667,1575,432.3175418,0.850947924,433.1684897,1218.937707,61244.98509,6491.145681,67736.13077,200465.1309,412691797.3,43.36233689,34.38015456,8.982182337,461742080,461737984,0.066672209,294387712,294387712,306135040,306126848,306126848,85,8,4509.332531,1288,472,212456,70869.33333,2002,500.3450729,297.5836148,797.9286877,835.7644141,14350898.7,13489389.48,27840288.18,8298.114202,283860992
3006,22.66905775,15.50328929,7.165768457,1424216064,1394404011,474.0183737,532553728,431809877.3,595980288,474481322.7,474481322.7,139.1666667,8,2288.129512,3080,2836,192744,163541.3333,1608.333333,447.1594316,0.901039064,448.0604707,1266.365866,63347.58614,7007.7797,70355.36584,220786.0164,422102357.3,39.27151043,32.02937897,7.242131458,461742080,461737984,0.09999961,294389760,294389760,306135040,306126848,306126848,85,8,4587.5092,1288,472,212456,70869.33333,2006,569.5572336,324.395931,893.9531646,903.1679472,15953699.45,14681736.41,30635435.86,8495.266217,283863040
3009,19.35235098,12.63242091,6.71993007,1424216064,1403666432,20.31392067,532553728,411895808,595980288,448342016,448342016,148,8,2348.382208,3080,2836,178744,125349.3333,1581.5,407.0446971,0.884959526,407.9296566,1158.563757,57664.66543,6911.351023,64576.01645,184391.6419,402184192,64.61500797,50.49963855,14.11536942,461742080,461737984,0.183339719,294393856,294393173.3,306136405.3,306128213.3,306128213.3,85,8,4642.78792,1288,472,212456,71624,2007,507.2838871,309.4270746,816.7109617,876.4962002,14778746.75,14012892.94,28791639.69,10477.58551,283866453.3
2920,22.82387894,15.97373971,6.850139226,1424216064,1372733440,387.9022345,532553728,397146794.7,595980288,437025450.7,437025450.7,118.5,8,2408.177314,3080,2836,182066.6667,129525.3333,1478.333333,455.8854848,0.884471448,456.7699563,1286.896855,64583.77701,6837.082772,71420.85979,212667.9745,387435178.7,50.58851623,39.82944214,10.75907408,461742080,461737984,0.166674787,294398634.7,294395221.3,306139136,306130261.3,306130261.3,85,8,4688.010709,1288,472,212456,71624,2006.5,519.5902343,308.8305787,828.420813,863.3384832,14908729.9,14019291.21,28928021.11,9403.441099,283868501.3
