req/minp,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_Elapsed Time,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
6412,0,0,0,102703104,102703104,0,18804736,18804736,17072128,17068032,17068032,67,8,69.12554915,3748,2740,148144,38448,219,0,0,0,0,0,0,0,0,9797632,26.67256821,18.35344453,8.319123686,814825472,766416213.3,43.75252961,542597120,541602474.7,679964672,665568597.3,665568597.3,46.83333333,8,1031.429795,4156,636,136309.3333,34906.66667,820.3333333,2107.689169,26.90632337,2134.595493,2063.044344,51394.1924,592087.8888,643482.0812,13237.00463,531993258.7
14852,12.0634226,8.059645117,4.003777481,121858730.7,121430016,383.7495444,28591445.33,28555946.67,32948224,32947541.33,32947541.33,57.33333333,8,22.3387801,4497.333333,2740,157040,46730.66667,243.5,0.400208334,54.04530094,54.44550929,3127.839352,2088.904075,10582.29281,12671.19689,83672.88371,19548842.67,0,0,0,814825472,758202368,0.083375954,542597120,541466624,679964672,663334912,663334912,39,8,1091.429328,4156,636,133808,25344,795,0,0,0,0,0,0,0,0,531857408
4190,23.73043624,15.20461481,8.525821432,116366677.3,116334592,191.0537511,25115306.67,25094144,25828693.33,25825280,25825280,69,8,22.6154523,3450,2740,160218.6667,44576,251,0,58.64779505,58.64779505,3358.618475,0,11495.76232,11495.76232,88766.78953,15127893.33,40.0371928,28.1820653,11.8551275,814825472,761522858.7,51.79087786,543929685.3,543205376,679964672,664244224,664244224,42.16666667,8,1151.431361,4156,636,135488,31412.66667,813,3452.470802,26.14859737,3478.619399,3315.479393,84260.26223,124502.4664,208762.7287,21311.78789,533596160
15965,4.476274602,3.018711025,1.509488996,156425557.3,156095146.7,197.3871149,42141696,42124629.33,53238442.67,53236394.67,53236394.67,69,8,13.61112127,4806,2740,175902.6667,64810.66667,330.3333333,0,13.41017616,13.41017616,832.1879981,9.966923867,2610.525737,2610.525737,22172.7416,32162474.67,25.71550504,16.97897124,8.736533795,814825472,758202368,6.387822965,545367381.3,544570709.3,679964672,663351296,663351296,39,8,1211.430895,4156,636,134480,27408,804,1121.448729,23.00112672,1144.449856,1034.184183,27379.44097,52286.43297,79665.87394,6730.434747,534961493.3
17946,7.355094852,4.340304652,3.014790198,179712000,179678549.3,196.7359497,52766720,52743509.33,73071957.33,73071274.67,73071274.67,57.66666667,8,1.9050381,3980,2740,178620,74064,351.6666667,0,34.95294426,34.95294426,2022.11096,0,6756.64453,6756.64453,54164.52418,43877717.33,37.43068669,25.60353546,11.82715123,814825472,768338602.7,37.49846743,546899285.3,546269866.7,679964672,666098346.7,666098346.7,48.66666667,8,1271.431261,4156,636,137429.3333,38786.66667,842.6666667,3194.293378,38.89170871,3233.185086,2899.811549,77930.13299,764216.478,842146.611,19415.91124,536660650.7
11703,18.09214702,10.81406296,7.278084057,176433834.7,176149845.3,535.1696228,50670250.67,50647722.67,67497984,67495936,67495936,69,8,14.0319473,4564,2740,185941.3333,75916.66667,358.6666667,1.315361583,65.4633421,66.77870368,3854.218974,3916.280723,12737.77679,16635.24312,103266.8507,40671232,62.00988245,42.06792927,19.94195319,814825472,773931008,87.26573082,551045120,550604117.3,679964672,667612501.3,667612501.3,54,8,1331.434961,4156,636,139408,46144,893.5,5398.034953,40.99909293,5439.034046,4881.774445,131789.414,744962.1568,876751.5708,32927.76669,540994901.3
6195,16.22932054,9.909437245,6.788111052,127141888,127104341.3,164.7836684,30248960,30217557.33,34341546.67,34338133.33,34338133.33,69,8,13.34276685,3680,2740,166117.3333,49816,272,0,49.20207317,49.20207317,2839.883584,0,9641.388892,9641.388892,75710.83075,20247893.33,37.86829525,26.86695186,11.00134339,814825472,763445248,43.94473387,552823466.7,552254122.7,679964672,664771925.3,664771925.3,44,8,1391.435328,4156,636,136981.3333,36290.66667,879.5,2851.008812,42.81371341,2893.822525,2480.519673,69611.60845,899465.1172,969076.7257,17156.71901,542644906.7
5079,13.43559377,8.419987679,5.015606094,123242496,122945536,151.6194222,29631829.33,29612714.67,33146197.33,33143466.67,33143466.67,69,8,13.5919385,4295.333333,2740,164789.3333,48342.66667,269.5,0,34.71849028,34.71849028,2016.275475,0,6811.904567,6811.904567,53957.72042,19637589.33,34.52024406,23.62869107,10.891553,814825472,758551893.3,21.2905199,555233280,553781248,679964672,663459157.3,663459157.3,39.33333333,8,1451.441528,4156,636,135226.6667,29781.33333,877.3333333,2131.644936,26.51226944,2158.157205,1883.844914,52097.81356,244155.3158,296253.1294,12781.95458,544172032
5466,6.394746878,3.561472621,2.833274257,108435456,108419754.7,125.6840983,23248213.33,23233877.33,23856469.33,23853056,23853056,57.66666667,8,15.7036474,3423.333333,2740,154424,41705.33333,221.3333333,0.099901699,22.49001467,22.58991637,1344.28848,12.92061976,4425.530449,4389.960918,36116.54205,13721600,27.33237433,19.03655987,8.295814461,814825472,758202368,7.250701731,555270826.7,554537642.7,679964672,663363584,663363584,39,8,1511.439395,4156,636,134928,30042.66667,881,1385.500395,35.8347989,1421.335194,1191.25582,33830.32806,632159.8745,665990.2025,8214.027087,544928426.7
1640,12.06498061,7.618637836,4.446342777,104812544,104800256,89.29304586,21471232,21458944,19877888,19873792,19873792,69,8,72.69562055,2980,2740,150576,41058.66667,233,0,27.41966489,27.41966489,1578.354027,0,5358.452478,5358.452478,41256.86572,11493376,22.51602374,15.31406804,7.201955703,814825472,759600469.3,20.36237047,556658688,555657216,679964672,663726080,663726080,40.33333333,8,1571.441428,4156,636,135002.6667,29333.33333,888.6666667,1673.098288,22.89046895,1695.988757,1466.293114,40857.0387,301790.6106,342647.6493,10046.70642,546048000
7769,2.781364501,1.767612161,1.01375234,136857600,136826197.3,386.1246663,41246720,41224874.67,41930752,41928704,41928704,69,8,39.23995145,4284,2740,170332,58040,295.8333333,0,8.732267093,8.732267093,537.3218847,0,1614.38775,1614.38775,14391.56607,31074986.67,9.465486489,6.60501734,2.860469148,814825472,758202368,0.733468405,556658688,555863381.3,679964672,663343104,663343104,39,8,1631.438461,4156,636,134032,26032,883,449.4076036,11.5022563,460.9098599,383.7133872,10970.74096,23234.90417,34205.64513,2642.038168,546254165.3
7874,14.03579427,8.785151978,5.250642288,126616917.3,126580053.3,147.1303041,29573802.67,29548544,33194666.67,33192618.67,33192618.67,69,8,7.07430815,4839.333333,2740,165744,49453.33333,271.1666667,0,44.70551477,44.70551477,2602.183752,0,8786.816287,8786.816287,69712.63735,19576149.33,28.18569734,19.55338156,8.63231578,814825472,758202368,32.68047421,558166016,556614997.3,679964672,663349248,663349248,39,8,1691.443828,4156,636,134554.6667,27637.33333,888.5,1950.414258,35.07372697,1985.487985,1659.828856,47672.88475,633069.1454,680742.0302,11714.20846,547005781.3
16194,23.65467595,15.38795323,8.266722728,174029482.7,173768021.3,569.739952,54510933.33,54500010.67,71200768,71199402.67,71199402.67,69,8,8.11766235,4637.333333,2740,187198.6667,75345.33333,372.1666667,0,115.2516905,115.2516905,6778.30802,32.40026793,22672.08693,22672.08693,181890.4601,44462080,40.01948849,28.23976864,11.77971985,814825472,758202368,4.316876827,558919680,557677226.7,679964672,663351296,663351296,39,8,1751.443361,4156,636,134928,28784,893.8333333,2230.836703,25.00392244,2255.840625,1841.341958,54513.18864,54221.21518,108734.4038,13084.40859,548068010.7
7530,28.9600852,17.78171843,11.28241739,106819584,106766336,392.5862655,25110528,25085269.33,28524544,28522496,28522496,57.66666667,8,14.29445255,5965.333333,2740,149561.3333,42169.33333,228.1666667,1.316673462,86.17379512,87.49046858,5015.018341,3901.353468,16863.60297,20764.95644,133891.585,16396970.67,41.1287513,29.17076587,11.95798543,814825472,767464789.3,75.55483654,560461141.3,559736832,679964672,665879210.7,665879210.7,47.83333333,8,1811.443728,4156,636,137888,49384,926.8333333,4148.516909,42.36010553,4190.877014,3472.49625,101423.6203,915644.8729,1017068.493,24705.49002,550127616
10178,18.77250846,12.29850221,6.474006253,140447744,140268202.7,291.5163826,37034666.67,37001216,44883968,44880554.67,44880554.67,57.66666667,8,22.33294665,3624.666667,2740,168022.6667,56004,242,0,58.55399144,58.55399144,3413.950117,0.866696453,11402.98915,11402.98915,91859.70117,26972160,40.67599643,28.21800906,12.45798737,814825472,758202368,22.10420684,563729066.7,562327552,679964672,663420928,663420928,39,8,1871.443261,4156,636,139248,29472,912,2784.179017,23.33914503,2807.518163,2279.460953,68031.91786,81663.86848,149695.7863,16362.07875,552718336
10615,10.09053661,6.501333954,3.58920266,131508906.7,131487744,334.6142403,33585152,33547605.33,41725269.33,41722538.67,41722538.67,57.66666667,8,6.9284719,4342,2740,157905.3333,51832,267.1666667,1.318668056,43.51306353,44.83173158,2613.840589,3907.263527,8555.453771,12462.7173,70449.41603,24633344,34.28755544,24.72165386,9.565901574,814825472,759949994.7,15.49870592,563963904,563570005.3,679964672,663893333.3,663893333.3,40.66666667,8,1931.448628,4156,636,139770.6667,31477.33333,924.3333333,2363.052209,43.55402349,2406.606232,1887.278594,57760.42747,817577.6143,875338.0418,13811.27562,553960789.3
2511,9.959101107,6.578574581,3.380526528,110173525.3,109924352,125.2113023,23705600,23696042.67,23154005.33,23149909.33,23149909.33,69,8,54.60025865,3980,2740,152456,42306.66667,240.1666667,0,21.60300829,21.60300829,1252.758196,0,4190.814793,4190.814793,32824.58043,13728426.67,48.57261566,33.82946087,14.74315479,814825472,763445248,36.36700251,566642005.3,566149802.7,679964672,664836096,664836096,44,8,1991.448161,4156,636,140218.6667,33653.33333,949.6666667,4090.552858,21.95273522,4112.505593,3262.669931,100054.1275,161169.001,261223.1285,23990.0053,556540586.7
6192,25.74444143,16.5123019,9.23213953,127397888,127369898.7,185.0532343,29720576,29700778.67,33358506.67,33355093.33,33355093.33,69,8,24.86466395,4954.666667,2740,166316,50144,276,0,72.86418986,72.86418986,4242.26894,6.097143405,14327.43445,14327.43445,113094.3223,19733845.33,8.631080177,5.953414559,2.677665619,814825472,758202368,0.999571683,567435264,566637226.7,679964672,663408640,663408640,39,8,2051.450195,4156,636,138128,31066.66667,936,413.1602911,23.18263284,436.342924,322.0303161,10111.96622,443951.9635,454063.9296,2376.635658,557028010.7
4774,20.90273875,13.20717731,7.695561449,117942954.7,117907456,174.4142871,26458794.67,26430122.67,28203690.67,28200277.33,28200277.33,69,8,29.7422615,3115.333333,2740,162992,46050.66667,259,0,53.94922918,53.94922918,3150.063886,0,10537.44716,10537.44716,83932.43318,16456362.67,28.83180934,19.81031952,9.021489818,814825472,760823808,13.95171545,568021674.7,567662592,679964672,664127488,664127488,41.5,8,2111.450561,4156,636,139584,31104,950.6666667,2074.201551,32.14838439,2106.349936,1610.311307,50714.70161,372306.9654,423021.6671,12036.40433,558053376
15643,19.00828547,12.41259189,6.595693576,204849152,204819114.7,615.1026719,64204117.33,64185685.33,88541184,88541184,88541184,69,8,10.7435482,5191.333333,2740,198256,90490,419.8333333,0,111.4726299,111.4726299,6591.586857,13.26712108,21837.00809,21850.27521,177821.2882,54213290.67,27.3992604,18.6648307,8.734429701,814825472,758202368,3.600080021,568394410.7,568388949.3,679964672,663416832,663416832,39,8,2171.453858,4156,636,138800,28096,942,1539.675673,21.76811272,1561.443786,1180.712512,37674.731,37277.20019,74951.93119,8825.756251,558779733.3
2318,13.86039243,8.867716959,4.992675473,114784938.7,114761728,106.6882211,23224320,23203840,22906197.33,22902784,22902784,69,8,33.18983045,5222,2740,151984,42938.66667,243.3333333,0,32.7733774,32.7733774,1921.466959,0,6469.025624,6469.025624,50713.12834,13255338.67,43.93255348,30.51883715,13.41371634,814825472,773406720,92.27510091,571895125.3,571220650.7,679964672,667600213.3,667600213.3,53.5,8,2231.468875,4156,636,142645.3333,43386.66667,996,4980.099243,42.91304272,5023.012286,3843.069091,121811.79,972094.4848,1093906.275,29017.09435,561611434.7
