req/minv,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_Elapsed Time,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
534,0.699605176,0.052073165,0.647532011,316006400,315981824,29.30280735,113544533.3,113530197.3,170270720,170266624,170266624,69,8,877.9869536,3152,4080,256424,121541.3333,576.3333333,0,9.378265229,9.378265229,501.0299317,0,1761.815123,1761.815123,14899.79323,103789909.3,11.875,6.953125,4.921875,459837440,459833344,0.216664603,278607189.3,278607189.3,292833962.7,292831232,292831232,99,8,1030.832373,1360,480,203296,83656,1094,706.3984974,28.71656008,735.1150576,116.1496569,1358601.623,734281.4965,2092883.12,2867.210812,268162389.3
729,1.458546528,0.156257945,1.302288583,316006400,315765418.7,39.92403847,113602560,113580714.7,170270720,170246144,170246144,68.16666667,8,937.9866281,3152,4080,258988,129820,580.5,0,11.70671614,11.70671614,668.6322671,0,2192.908049,2192.908049,19971.05389,103834965.3,11.015625,6.5625,4.453125,459837440,459833344,0.200007362,278622890.7,278620842.7,292840106.7,292831914.7,292831914.7,99,8,1090.832373,1360,480,203296,83656,1101.166667,795.803753,23.71697568,819.5207286,117.9512218,1454107.51,585631.8208,2039739.331,3194.965608,268176042.7
665,1.067660243,0.104189586,0.963470657,316006400,315719680,36.78906186,113612117.3,113592320,170270720,170242048,170242048,68,8,997.9887439,3152,4080,258664,129101.3333,580,0,11.08352664,11.08352664,620.0931085,0,2116.554679,2116.554679,18612.30712,103847936,12.76041667,7.708333333,5.052083333,460192426.7,459658581.3,4.416703128,278982656,278625621.3,293197141.3,292831232,292831232,98.83333333,8,1150.832373,1360,480,203296,83616,1110,798.6802224,28.91646733,827.5966897,128.4493481,1530501.249,799347.013,2329848.262,3235.070559,268180821.3
555,1.655702044,0.053347489,1.602354555,316006400,315719680,29.42364532,113653760,113636010.7,170270720,170242048,170242048,68,8,1057.72727,3152,4080,255560,118498.6667,572.6666667,0,9.058239181,9.058239181,509.9353627,0,1690.549547,1690.549547,15135.95925,103891626.7,9.765625,5.9375,3.828125,460902400,459833344,0.283353506,279687168,278647466.7,293904384,292835328,292835328,99,8,1210.832373,1360,480,203296,83656,1118.666667,668.1854308,22.88305543,691.0684864,96.53345086,1249737.245,586061.1288,1835798.374,2696.409375,268202666.7
684,1.229104068,0.12813255,1.100971518,316006400,315719680,37.90730441,113700864,113683114.7,170323968,170307584,170307584,68,8,1117.695262,3152,4080,257832,125880,577,0,11.47382158,11.47382158,631.7923879,0,2195.098267,2195.098267,18925.42928,103938730.7,13.61979167,7.604166667,6.015625,460902400,459833344,0.216673488,279687168,278673408,293904384,292901546.7,292901546.7,99,8,1270.832373,1360,480,203296,83656,1128.833333,799.8487615,29.33395718,829.1827186,133.068914,1537308.078,758074.6084,2295382.686,3244.198546,268228608
558,1.353595664,0.182279078,1.171316586,316006400,315719680,30.1829761,113771861.3,113756842.7,170377216,170373120,170373120,68,8,1177.782022,3152,4080,256520,121517.3333,576,0,9.144289126,9.144289126,519.2825681,0,1693.63331,1693.63331,15390.40853,104012458.7,8.541666667,4.739583333,3.802083333,460902400,459833344,0.366639169,279687168,278705493.3,293904384,292903594.7,292903594.7,99,8,1330.832373,1360,480,203296,83656,1139.833333,624.5952616,22.36590508,646.9611666,95.83010989,1195161.563,573326.175,1768487.738,2530.813149,268260693.3
622,1.406185298,0.208262371,1.197922927,316006400,315719680,35.40616024,113815552,113793706.7,170377216,170373120,170373120,68,8,1237.78072,3152,4080,260520,134872,584,0,10.66185709,10.66185709,585.6378583,0,2019.334073,2019.334073,17530.03325,104049322.7,13.46354167,8.411458333,5.052083333,460902400,459833344,0.316650692,279687168,278764202.7,293904384,292904960,292904960,99,8,1390.832373,1360,480,203296,83802.66667,1148.666667,827.4310165,29.86729582,857.2983125,125.9358386,1569667.186,757072.9576,2326740.143,3346.325565,268319402.7
605,0.971274822,0.080115218,0.891159604,316006400,315719680,32.75918415,113816917.3,113801216,170377216,170373120,170373120,68,8,1297.373719,3152,4080,258184,126426.6667,581.5,0,10.48088879,10.48088879,550.7353678,0,1976.700142,1976.700142,16378.36894,104056832,11.90104167,6.588541667,5.3125,460902400,459658581.3,0.083339398,279687168,278774442.7,293904384,292900181.3,292900181.3,98.83333333,8,1450.832373,1360,480,203296,83616,1157.666667,792.8818585,31.55016536,824.4320239,122.233744,1536650.244,806681.9151,2343332.16,3183.513018,268329642.7
702,2.603834335,0.156186474,2.447647861,316006400,315719680,37.17879237,113864704,113829888,170377216,170373120,170373120,68,8,1357.567637,3152,4080,265128,149472,599.1666667,0,10.88030549,10.88030549,646.0325306,0,2007.985485,2007.985485,19216.03404,104085504,10.02604167,6.40625,3.619791667,460902400,459658581.3,1.783425655,279687168,278946474.7,293904384,293086549.3,293086549.3,98.83333333,8,1510.832373,1360,480,203296,83616,1164,722.6120272,21.20010291,743.8121301,116.8855958,1326070.263,529615.1167,1855685.38,3005.470781,268501674.7
626,1.145911016,0.078181017,1.067729999,316006400,315719680,34.59957482,113871530.7,113843541.3,170377216,170373120,170373120,68,8,1417.569753,3152,4080,265128,149288,596,0,10.39316026,10.39316026,571.2945205,0,1963.952917,1963.952917,17087.97854,104099157.3,11.82291667,7.083333333,4.739583333,460902400,459833344,0.549979581,279687168,279053653.3,293904384,293183488,293183488,99,8,1570.832373,1360,480,203296,83656,1172.5,787.5754557,32.4829307,820.0583864,125.2485539,1561304.686,832626.3871,2393931.073,3185.867104,268608853.3
550,2.476007157,0.208460758,2.2675464,316006400,315719680,29.53488189,113872896,113846272,170377216,170373120,170373120,68,8,1477.567312,3152,4080,259272,130224,585.8333333,0,9.327116772,9.327116772,512.9652288,0,1682.899142,1682.899142,15051.33997,104101888,10,6.40625,3.59375,460902400,459833344,1.04997958,279687168,279143765.3,293904384,293273600,293273600,99,8,1630.832373,1360,480,203296,83656,1184.333333,601.9262105,24.81652071,626.7427311,96.36561719,1191649.173,637443.9016,1829093.075,2440.037564,268698965.3
650,1.432899311,0.282079335,1.150819975,316006400,315719680,36.01840848,113872896,113849002.7,170377216,170373120,170373120,68,8,1537.199614,3152,4080,263592,144736,593.1666667,0,10.84381278,10.84381278,607.8188673,0,2081.229764,2081.229764,18242.74472,104104618.7,12.65625,7.369791667,5.286458333,460902400,459833344,0.700000878,279687168,279325354.7,293904384,293523456,293523456,99,8,1690.832373,1360,480,203296,83656,1191.333333,798.4539109,31.78352894,830.2374398,128.3339989,1574695.005,810234.4338,2384929.439,3226.749181,268879189.3
522,2.888412422,0.537299145,2.351113277,316006400,315719680,27.20118101,113874261.3,113853098.7,170377216,170373120,170373120,68,8,1597.359096,3152,4080,259912,132400,590.5,0,8.598574137,8.598574137,470.0154875,0,1593.523663,1593.523663,13771.28117,104108714.7,10.36458333,6.328125,4.036458333,460902400,459833344,0.083330565,279687168,279359488,293904384,293523456,293523456,99,8,1750.832373,1360,480,203296,83656,1201.5,649.4118372,30.71631783,680.128155,105.2325726,1306782.878,786671.4129,2093454.291,2622.830431,268910592
688,3.568247723,0.937498089,2.630749634,316006400,315719680,37.98242138,113881088,113856512,170377216,170373120,170373120,68,8,1657.359096,3152,4080,262056,139309.3333,589,0,11.47144658,11.47144658,646.3452752,0,2157.997507,2157.997507,19419.618,104112128,12.63020833,7.526041667,5.104166667,460902400,459658581.3,0.716694807,279687168,279381333.3,293904384,293519360,293519360,98.83333333,8,1810.832373,1360,480,203296,83616,1208.166667,834.4863795,25.76647634,860.2528558,125.3505977,1513411.644,644347.929,2157759.573,3408.730722,268932437.3
625,3.125251908,0.859551354,2.265700555,316006400,315719680,34.84553594,113881088,113856512,170377216,170373120,170373120,68,8,1717.360235,3152,4080,261224,137581.3333,589,0,10.55872414,10.55872414,578.1610937,0,1994.265337,1994.265337,17304.47444,104112128,13.77604167,8.020833333,5.755208333,460902400,459658581.3,0.033332705,279687168,279399082.7,293904384,293518677.3,293518677.3,98.83333333,8,1870.832373,1360,480,203296,83616,1215.5,757.7838512,30.68351112,788.4673623,117.749895,1507404.841,786529.5295,2293934.371,3028.418371,268950186.7
557,3.723148575,0.439548946,3.283599629,268050432,267780096,210.3805179,92240554.67,92223488,135083349.3,135080618.7,135080618.7,68.33333333,8,1179.950276,2806.666667,4080,238397.3333,111310.6667,526.8333333,0,7.212573471,7.212573471,460.0348557,0,1291.66574,1291.66574,13545.85097,82509824,10.88541667,7.083333333,3.802083333,461073749.3,457910954.7,6.217379062,279687168,279228416,293948074.7,293016917.3,293016917.3,97.16666667,8,1930.832373,1360,480,203194.6667,80808,1224.333333,662.2457633,174.3517529,836.5975163,110.0031295,1253137.239,616158.3766,1869295.615,3934.050809,268774058.7
679,3.873264375,0.904041892,2.969222484,223798613.3,223772672,47.50037578,73569621.33,73557333.33,105364821.3,105360725.3,105360725.3,69,8,46.02294143,2116,4080,219944,103997.3333,453.5,0,11.49634159,11.49634159,630.9288478,0,2203.156631,2203.156631,18888.14416,63776085.33,14.11458333,8.541666667,5.572916667,461930496,442007552,2.916629646,279687168,278463146.7,294166528,288783701.3,288783701.3,82,8,1990.832373,1360,480,201344,61000,1229.333333,812.0301412,46.35047002,858.3806112,138.6325483,1569000.365,784777.9092,2353778.275,3432.073217,267981482.7
491,3.334536118,0.755428083,2.579108035,223801344,223772672,28.05694076,74336938.67,74323968,106585429.3,106581333.3,106581333.3,69,8,106.0205,2116,4080,218344,94080,441.6666667,0,8.284181492,8.284181492,455.1262768,0,1574.401945,1574.401945,13441.32298,64537258.67,10.44270833,5.807291667,4.635416667,461930496,442007552,0.26667025,279687168,278551210.7,294166528,288784384,288784384,82,8,2050.832373,1360,480,201344,61000,1239.333333,578.6769085,24.13336363,602.8102722,90.38268444,1156434.09,623312.8247,1779746.915,2326.207853,268069546.7
710,3.618992724,0.885259467,2.733733257,223801344,223772672,39.67132449,74599082.67,74580650.67,106622976,106618880,106618880,69,8,166.0218021,2116,4080,220520,98853.33333,438,0,11.97309934,11.97309934,662.6624998,0,2264.52639,2264.52639,19856.04235,64791210.67,13.23313638,8.069071905,5.164064475,461930496,442007552,0.200009013,279687168,278588074.7,294166528,288784384,288784384,82,8,2110.461904,1360,480,201344,61000,1247.5,886.3832627,30.283967,916.6672296,137.8698544,1656780.808,768142.4967,2424923.305,3558.683856,268106410.7
589,3.447538203,0.889368,2.558170203,223801344,223772672,34.30524025,74808661.33,74788864,106939733.3,106935637.3,106935637.3,69,8,225.7761358,2116,4080,219080,94448,436.5,0,10.5065537,10.5065537,563.8708754,0,1994.43464,1994.43464,16826.5638,64999424,13.35761846,7.84325339,5.514365072,461930496,441832789.3,0.133334883,279687168,278596266.7,294166528,288780288,288780288,81.83333333,8,2170.622261,1360,480,201344,60960,1252.833333,848.4346675,30.23321306,878.6678806,131.4333957,1608913.092,779876.4919,2388789.584,3394.505356,268114602.7
685,3.940140328,1.082004737,2.858135591,245094400,245071872,52.37904209,78731264,78717610.67,113445546.7,113442133.3,113442133.3,69,8,285.7261154,2116,4080,225320,105597.3333,459.5,0,10.66240234,10.66240234,613.0184463,0,1982.433758,1982.433758,18261.16063,68928170.67,10.78125,6.40625,4.375,461930496,441832789.3,0.050068305,279687168,278613333.3,294166528,288780288,288780288,81.83333333,8,2230.622261,1360,480,201904,62680,1261.333333,700.4815866,23.6984905,724.1800771,109.3169917,1300932.82,601818.1688,1902750.989,2823.027891,268131669.3
651,6.146182886,1.614502969,4.531679916,245096448,245071872,36.44872848,78910122.67,78891690.67,113741824,113737728,113737728,69,8,345.807187,2116,4080,225320,105426.6667,457,0,10.9262354,10.9262354,597.7847786,0,2068.599909,2068.599909,17861.08205,69102250.67,12.8125,7.239583333,5.572916667,461930496,442007552,0.06666634,279687168,278618112,294166528,288784384,288784384,82,8,2290.622261,1360,480,202016,63064,1266,808.9327258,29.66665817,838.599384,126.3999475,1550124.543,747225.9702,2297350.513,3244.514225,268136448
565,5.531688602,1.295386991,4.236301612,292362240,292345173.3,172.4070248,101332309.3,101322752,149245952,149243221.3,149243221.3,69,8,405.447265,2116,4080,249842.6667,128130.6667,548.5,0,9.228255583,9.228255583,532.9569937,0,1651.604124,1651.604124,15676.71007,91533312,9.010416667,5.598958333,3.411458333,461930496,450920448,6.483386021,279863978.7,279329450.7,294166528,291373056,291373056,90.5,8,2350.622261,1360,480,204704,74386.66667,1307.333333,628.3816955,20.96672135,649.3484168,102.0163256,1151405.132,517720.8531,1669125.985,2603.72681,268847786.7
644,6.188720979,1.910127791,4.278593188,316004352,315981824,37.09045927,114118656,114105002.7,171083093.3,171079680,171079680,69,8,465.6004263,2116,4080,264744,148541.3333,593,0,10.55665813,10.55665813,579.9063991,0,2024.094882,2024.094882,17376.37833,104315562.7,12.8125,7.135416667,5.677083333,461930496,459833344,0.483328178,280127488,280127488,294166528,293984938.7,293984938.7,99,8,2410.622261,1360,480,207392,83656,1348.833333,778.2329469,31.85009814,810.083045,118.0670962,1506572.568,818136.9649,2324709.533,3119.715255,269645824
517,6.748641275,1.771233577,4.977407698,316006400,315983189.3,27.81796274,114326869.3,114316629.3,171190954.7,171186858.7,171186858.7,69,8,525.5937531,2116,4080,259306.6667,131046.6667,584,0,8.510371728,8.510371728,481.2781446,0,1610.871984,1610.871984,14168.8001,104525824,9.348958333,5.364583333,3.984375,461930496,459833344,0.083332056,280203264,280203264,294166528,294031360,294031360,99,8,2470.622261,1360,480,207392,83656,1354.166667,562.2322599,25.68337884,587.9156388,93.31620527,1144589.365,667842.0683,1812431.434,2276.693976,269721600
